trade_date,600000.SH,600004.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600025.SH,600027.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600048.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600170.SH,600176.SH,600177.SH,600183.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600299.SH,600309.SH,600332.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600383.SH,600390.SH,600398.SH,600406.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600519.SH,600522.SH,600547.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600655.SH,600660.SH,600674.SH,600690.SH,600703.SH,600705.SH,600741.SH,600745.SH,600760.SH,600795.SH,600809.SH,600837.SH,600848.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,600919.SH,600926.SH,600928.SH,600958.SH,600968.SH,600977.SH,600989.SH,600998.SH,600999.SH,601006.SH,601009.SH,601012.SH,601018.SH,601021.SH,601066.SH,601077.SH,601088.SH,601100.SH,601108.SH,601111.SH,601117.SH,601138.SH,601155.SH,601162.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601212.SH,601216.SH,601225.SH,601229.SH,601231.SH,601236.SH,601238.SH,601288.SH,601298.SH,601318.SH,601319.SH,601328.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601555.SH,601577.SH,601600.SH,601601.SH,601607.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601698.SH,601727.SH,601766.SH,601788.SH,601800.SH,601808.SH,601816.SH,601818.SH,601828.SH,601838.SH,601857.SH,601877.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601916.SH,601919.SH,601933.SH,601939.SH,601985.SH,601988.SH,601989.SH,601992.SH,601997.SH,601998.SH,603019.SH,603156.SH,603160.SH,603259.SH,603260.SH,603288.SH,603369.SH,603501.SH,603658.SH,603799.SH,603833.SH,603899.SH,603986.SH,603993.SH,000001.SZ,000002.SZ,000063.SZ,000066.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000627.SZ,000651.SZ,000656.SZ,000661.SZ,000671.SZ,000703.SZ,000708.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000858.SZ,000860.SZ,000876.SZ,000895.SZ,000938.SZ,000961.SZ,000963.SZ,000977.SZ,001979.SZ,002001.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002032.SZ,002044.SZ,002050.SZ,002120.SZ,002129.SZ,002142.SZ,002146.SZ,002153.SZ,002157.SZ,002179.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002271.SZ,002304.SZ,002311.SZ,002352.SZ,002371.SZ,002410.SZ,002415.SZ,002422.SZ,002456.SZ,002460.SZ,002463.SZ,002466.SZ,002468.SZ,002475.SZ,002493.SZ,002508.SZ,002555.SZ,002558.SZ,002594.SZ,002601.SZ,002602.SZ,002607.SZ,002624.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002773.SZ,002841.SZ,002916.SZ,002938.SZ,002939.SZ,002945.SZ,002958.SZ,003816.SZ,300003.SZ,300014.SZ,300015.SZ,300033.SZ,300059.SZ,300122.SZ,300124.SZ,300136.SZ,300142.SZ,300144.SZ,300347.SZ,300408.SZ,300413.SZ,300433.SZ,300498.SZ,300601.SZ,300628.SZ
20200116,12.28,17.79,73.68,1.33,5.6,7.61,6.33,5.61,5.68,4.15,3.63,5.1,7.16,25.36,16.88,38.22,46.39,16.16,6.15,14.33,14.65,6.64,27.24,6.72,24.8,9.29,10.88,5.69,22.01,3.55,11.07,7.4,23.94,10.3,26.74,4.01,2.36,1.74,12.89,23.85,87.64,3.65,11.46,54.34,35.33,27.53,17.34,14.38,16.54,5.22,14.82,14.13,8.16,7.94,20.93,116.1,14.19,20.31,17.71,8.7,27.68,12.46,1118.87,8.7,34.68,83.69,7.85,52.27,31.95,6.93,10.57,8.17,25.9,9.38,19.77,21.05,4.78,28.57,108.28,30.88,2.31,96.55,15.28,25.31,12.96,8.96,33.27,22.34,18.02,7.14,9.72,7.32,10.61,2.98,16.67,9.59,14.27,19.11,7.94,8.73,28.58,3.86,43.66,30.88,6.66,17.83,49.1,11.06,9.46,6.7,18.65,37.54,6.88,19.53,5.65,10.02,12.75,18.8,3.61,3.1,8.89,9.18,20.28,18.35,12.22,3.66,6.99,86.31,7.6,5.63,50.7,24.19,7.06,5.85,5.87,9.6,8.98,3.51,38.61,18.47,2.79,34.95,8.86,5.72,5.85,4.26,19.97,11.46,5.05,7.07,13.14,8.84,18.59,5.86,4.24,11.59,9.02,5.88,27.5,10.87,11.51,89.81,4.89,4.6,8.37,4.67,5.01,8.11,7.15,5.03,3.68,5.29,3.62,9.35,6.03,42.8,29.87,266.53,94.8,29.92,108.0,35.55,174.51,108.22,45.22,115.0,50.02,255.51,4.58,16.52,30.62,37.33,16.03,7.72,4.86,6.59,5.02,60.0,14.65,5.59,88.23,92.2,147.36,11.2,6.88,69.34,7.83,488.0,7.92,14.27,23.22,2.54,9.15,4.9,9.11,16.64,15.35,7.23,26.13,140.8,48.97,20.14,31.4,33.74,9.92,25.02,32.19,19.3,24.8,34.24,43.33,10.68,6.69,74.48,14.3,19.7,31.15,14.2,28.33,9.58,40.51,15.19,39.2,12.45,36.28,21.69,22.15,7.33,26.8,116.27,36.87,37.19,109.74,38.21,36.5,24.7,16.7,41.78,24.63,33.06,19.67,43.0,11.99,34.59,29.27,20.02,53.49,17.48,13.19,18.59,46.0,9.62,89.68,12.89,21.4,37.75,86.51,170.51,49.5,13.44,13.79,6.2,3.67,34.84,54.53,41.12,109.99,15.8,58.7,31.25,45.81,29.5,31.66,69.75,22.81,40.34,17.45,35.8,91.34,81.24
20200117,12.22,17.64,73.79,1.32,5.55,7.59,6.31,5.58,5.64,4.12,3.6,5.08,7.05,25.27,16.98,38.06,46.4,16.1,6.0,14.35,15.0,6.56,27.1,6.67,25.03,9.21,10.8,5.58,23.61,3.54,11.08,7.43,23.71,10.18,26.89,3.95,2.34,1.72,13.1,24.1,86.5,3.56,11.29,54.26,34.8,27.34,17.35,14.36,16.49,5.16,14.85,14.18,8.04,7.86,20.06,118.78,14.32,20.33,17.59,8.58,27.5,12.25,1110.0,8.6,33.81,84.37,7.82,52.2,32.77,6.9,10.5,8.15,25.82,9.26,19.59,21.14,4.75,28.64,110.33,30.6,2.29,97.76,15.29,24.89,12.89,8.85,33.5,22.27,17.9,7.1,9.67,7.24,10.55,2.95,16.59,9.54,14.35,19.03,7.94,8.62,29.25,3.84,43.1,30.91,6.6,17.8,48.5,11.03,9.34,6.71,18.41,38.11,6.95,19.27,5.62,9.94,12.7,18.73,3.55,3.07,8.73,9.16,21.7,19.4,11.81,3.61,6.95,86.15,7.53,5.63,50.25,24.02,7.14,5.8,5.81,9.55,8.94,3.51,37.7,18.75,2.79,34.06,8.74,5.66,5.8,4.28,19.97,11.6,5.03,6.99,13.24,8.78,18.48,6.85,4.17,11.6,8.97,5.84,27.59,10.85,11.4,90.84,4.86,4.52,8.45,4.65,5.0,8.02,7.09,5.01,3.65,5.3,3.58,9.26,6.0,42.97,29.6,277.0,97.99,29.83,108.48,35.5,174.2,110.28,45.9,118.1,50.17,254.65,4.49,16.38,30.62,37.73,16.28,7.61,4.92,6.68,5.02,59.99,14.39,5.53,88.1,93.0,151.4,11.13,6.81,67.99,7.78,491.0,7.88,14.41,23.45,2.51,9.21,4.9,9.06,16.62,15.21,7.25,26.5,141.26,51.55,19.99,31.0,33.76,10.0,24.69,33.5,19.15,24.82,34.11,43.16,10.6,6.61,74.03,14.49,19.42,30.5,14.36,28.53,9.53,40.52,15.23,38.96,12.6,36.51,21.11,22.34,7.23,28.49,115.98,36.76,36.99,113.78,39.81,36.29,24.79,17.29,41.49,24.34,32.85,19.6,42.72,12.02,34.85,29.05,19.2,53.86,17.03,12.97,18.74,45.75,9.56,90.57,12.93,21.7,39.06,83.59,171.8,49.5,13.75,13.84,6.22,3.64,34.8,55.48,42.63,109.89,15.79,58.76,31.51,45.31,29.2,31.54,72.8,22.92,40.32,17.72,35.57,91.86,82.71
20200120,12.26,17.6,72.88,1.3,5.53,7.57,6.29,5.51,5.73,4.09,3.63,5.07,6.88,25.34,17.1,38.22,46.55,16.12,5.98,14.16,15.51,6.57,27.4,6.62,24.66,9.18,10.72,5.48,24.6,3.52,10.95,7.38,23.12,10.12,27.25,3.88,2.33,1.71,13.2,23.92,92.78,3.55,11.33,54.11,36.8,27.48,18.29,14.3,16.28,5.17,14.96,14.01,8.5,7.82,18.57,123.0,13.99,20.14,17.37,8.63,27.38,12.02,1111.86,8.55,34.15,90.02,7.94,52.13,32.89,6.82,11.6,8.15,25.45,9.11,19.21,21.0,4.75,28.57,117.0,30.69,2.29,96.71,15.26,24.5,12.71,8.79,32.83,22.29,17.79,7.08,9.5,7.24,10.55,2.96,16.55,9.54,14.57,18.99,7.92,8.63,28.83,3.83,41.98,30.89,6.6,17.82,49.27,11.14,8.98,6.86,18.88,37.22,7.0,19.28,5.62,9.9,12.76,18.63,3.55,3.04,8.69,9.14,22.3,18.63,11.55,3.62,6.82,88.3,7.52,5.61,50.51,24.77,7.15,5.78,5.81,9.61,8.95,3.47,37.8,18.85,2.79,33.47,8.81,5.68,5.8,4.28,19.77,11.51,5.01,6.94,13.12,8.79,18.57,6.73,4.18,11.86,8.92,5.85,27.45,10.81,11.43,90.15,4.92,4.6,8.5,4.63,4.89,8.06,7.09,4.99,3.65,5.24,3.57,9.29,5.98,43.92,29.8,277.77,97.53,29.58,110.08,34.6,175.5,114.22,44.91,121.28,50.31,254.37,4.41,16.43,30.5,38.7,15.97,7.62,4.9,6.87,5.03,60.8,14.8,5.6,87.58,91.8,145.5,11.08,6.73,68.3,7.78,499.44,7.83,14.7,23.21,2.52,9.17,4.81,9.04,16.66,15.18,7.25,26.64,140.55,55.88,19.66,30.5,34.47,9.9,20.65,33.5,18.87,24.9,35.65,42.89,10.52,6.58,74.2,14.57,19.36,30.52,14.55,28.23,9.45,40.96,15.2,38.76,12.38,36.0,20.88,21.9,7.29,28.14,115.98,36.64,37.35,112.26,40.06,35.6,25.87,17.01,41.56,23.84,32.2,19.34,41.81,12.06,35.98,28.54,18.9,57.3,17.0,12.82,18.4,44.9,9.53,88.86,12.85,22.15,40.11,85.85,168.51,49.0,13.65,14.69,6.17,3.63,35.38,55.6,43.4,110.73,15.74,60.0,30.2,45.5,30.27,30.4,74.51,23.28,40.0,19.0,35.69,96.98,81.86
20200121,12.2,16.79,71.02,1.3,5.52,7.58,6.3,5.52,5.72,4.09,3.62,5.04,6.77,25.47,17.28,37.95,46.74,15.82,6.0,14.38,15.97,6.75,28.14,6.64,24.06,9.26,10.86,5.31,26.99,3.51,11.24,7.38,24.0,10.16,27.55,3.77,2.34,1.75,14.18,24.59,90.1,3.6,11.65,54.71,39.3,27.25,17.58,14.38,16.33,5.29,15.0,13.8,8.6,7.83,19.19,130.4,13.97,20.1,17.81,8.59,27.99,11.95,1081.0,8.66,34.55,87.18,7.77,52.0,33.55,6.77,11.55,8.1,25.15,9.12,19.38,21.75,4.81,28.31,125.51,31.1,2.29,94.88,15.41,24.59,12.4,8.71,32.66,22.25,17.76,7.12,9.59,7.31,10.74,2.98,14.85,9.52,15.73,19.54,7.98,8.66,29.18,3.83,40.85,31.56,6.63,17.58,51.68,11.47,8.7,7.12,19.2,36.8,6.85,19.3,5.62,9.97,12.9,18.88,3.54,3.04,8.71,9.15,22.43,18.89,11.58,3.62,6.85,87.0,7.6,5.61,50.7,24.65,7.16,5.8,5.82,9.76,8.95,3.45,37.6,19.25,2.79,33.9,8.89,5.71,5.78,4.29,19.86,12.59,5.03,6.97,13.13,8.93,18.34,7.5,4.18,12.32,9.02,5.85,27.26,11.02,11.44,85.68,4.88,4.52,8.69,4.65,4.82,7.95,7.09,5.0,3.65,5.24,3.6,9.22,6.0,42.63,30.0,284.96,98.61,29.99,111.3,34.13,186.01,111.32,45.14,124.23,51.26,261.5,4.36,16.34,29.56,39.5,15.77,7.54,5.13,6.86,5.05,59.7,14.52,5.69,88.17,90.0,147.02,10.9,6.83,67.8,7.6,512.0,7.76,14.59,23.98,2.51,8.73,5.0,9.1,16.9,15.51,7.29,26.0,136.5,53.98,19.85,30.2,34.5,9.79,21.31,34.96,18.58,24.92,36.5,44.5,10.46,6.4,73.39,14.55,19.62,32.7,15.08,28.1,9.38,40.41,15.48,38.78,12.57,36.57,21.63,23.14,7.5,28.92,112.51,36.32,38.99,116.19,40.2,35.67,26.2,18.14,42.02,24.45,31.95,19.95,43.5,12.01,35.9,30.13,18.53,57.72,17.1,12.87,18.36,45.8,9.59,90.56,13.03,19.0,38.62,84.28,170.21,50.12,13.9,14.54,6.17,3.67,33.0,60.1,43.0,112.0,15.92,60.01,30.73,48.0,30.68,28.09,74.48,23.61,40.78,20.37,35.99,107.5,82.72
20200122,11.7,16.67,69.72,1.29,5.44,7.51,6.26,5.46,5.57,4.03,3.6,5.0,6.61,24.98,16.3,37.7,45.3,15.44,5.9,14.19,16.17,6.51,28.33,6.53,23.02,9.14,10.55,5.17,26.81,3.46,10.6,7.22,24.3,9.95,27.98,3.62,2.29,1.72,14.19,23.6,90.35,3.66,11.46,53.4,39.0,27.01,17.5,13.89,15.52,5.2,14.82,13.49,8.17,7.63,18.94,129.3,14.01,19.48,17.39,8.3,26.8,11.57,1070.0,8.51,33.8,87.55,7.74,49.62,33.58,6.67,11.27,7.95,24.74,9.01,19.24,21.63,4.71,27.58,127.0,30.0,2.26,94.49,15.05,24.0,12.96,8.46,32.06,21.99,17.78,7.09,9.39,7.18,10.53,2.92,14.48,9.38,15.73,19.25,7.89,8.45,29.32,3.77,39.95,31.81,6.55,17.42,51.62,11.2,8.44,7.22,18.9,35.36,6.43,19.02,5.55,9.7,12.6,18.45,3.43,3.0,8.47,9.1,21.2,18.4,11.0,3.57,6.77,85.0,7.49,5.57,49.3,23.59,7.0,5.7,5.76,9.59,8.89,3.38,36.73,19.67,2.77,33.11,8.6,5.65,5.63,4.22,19.4,12.64,4.96,6.88,12.63,8.7,17.92,7.3,4.13,12.14,8.88,5.76,27.26,10.9,11.12,83.0,4.78,4.33,8.44,4.6,4.71,7.57,7.02,4.94,3.64,5.16,3.5,9.03,5.88,42.3,29.13,290.0,98.21,28.97,111.6,32.7,179.0,114.99,44.56,118.06,50.36,268.33,4.19,15.92,29.2,38.38,15.12,7.28,5.05,6.52,4.98,57.52,14.18,5.32,90.58,85.89,147.06,10.35,6.78,66.15,7.3,513.1,7.47,14.0,22.8,2.45,8.2,4.97,8.9,16.79,15.32,7.1,26.0,130.99,52.0,19.0,30.48,33.89,9.54,21.99,34.9,18.29,24.8,37.52,43.6,10.25,6.24,73.33,14.68,20.15,32.34,14.96,27.66,9.24,38.8,14.89,38.54,12.05,35.86,20.8,22.91,7.86,27.66,109.9,35.37,38.61,117.4,39.98,34.8,25.81,18.0,41.2,23.77,31.5,19.61,43.5,11.99,35.36,29.81,18.08,56.5,16.7,12.74,17.93,45.27,9.5,87.88,12.69,18.6,39.11,84.22,170.01,49.8,13.78,14.65,6.04,3.67,33.5,59.8,42.5,108.16,15.5,62.45,29.7,46.17,30.68,28.05,74.9,23.65,42.59,19.99,35.45,101.6,81.72
20200123,11.75,16.5,70.09,1.27,5.47,7.47,6.23,5.37,5.55,4.01,3.6,4.96,6.58,24.69,16.72,37.53,45.27,15.61,5.8,14.55,16.23,6.48,27.88,6.5,23.1,9.12,10.5,5.16,27.18,3.43,10.6,7.16,25.1,9.9,26.99,3.63,2.28,1.71,14.0,23.55,90.02,3.84,11.14,53.8,37.45,27.09,17.5,13.75,15.39,5.24,14.43,13.46,8.2,7.59,18.73,128.07,13.8,19.58,17.54,8.2,26.83,11.63,1076.0,8.5,33.31,91.14,7.7,49.9,33.67,6.65,10.59,7.93,25.05,9.1,19.29,22.75,4.66,27.37,127.55,29.5,2.25,95.69,14.95,24.02,12.45,8.36,32.2,21.8,17.49,7.07,9.37,7.18,10.64,2.89,14.19,9.34,16.92,19.25,7.83,8.43,30.16,3.77,39.5,33.9,6.52,17.55,52.0,11.24,8.48,7.25,20.5,35.0,6.5,19.01,5.53,9.63,12.69,18.16,3.35,3.0,8.58,9.08,21.21,18.64,11.18,3.56,6.73,84.01,7.46,5.53,48.89,23.88,7.0,5.68,5.76,9.6,8.8,3.36,36.6,19.28,2.76,33.2,8.65,5.68,5.6,4.19,19.31,13.01,4.93,6.84,12.65,8.62,17.66,7.17,4.13,11.97,8.9,5.7,27.35,11.1,11.42,83.0,4.74,4.31,8.18,4.59,4.82,7.68,7.02,4.9,3.64,5.17,3.48,9.09,5.87,43.8,29.1,325.0,98.75,28.5,109.95,32.79,182.0,111.62,46.33,117.74,51.43,280.0,4.23,15.92,29.7,39.95,14.75,7.26,5.02,6.53,4.96,56.1,14.23,5.35,88.15,87.37,145.69,10.34,6.76,65.93,7.23,519.97,7.53,14.15,22.88,2.45,8.2,4.81,8.91,16.8,15.3,7.12,26.35,131.77,53.34,18.95,30.09,34.21,9.69,21.5,35.6,18.46,24.24,36.75,44.58,10.1,6.21,73.15,14.38,20.47,30.8,16.01,27.63,9.26,38.89,14.55,38.78,11.95,36.36,21.12,24.0,7.77,28.0,111.66,35.9,38.41,123.32,40.8,36.01,25.5,18.4,43.49,24.5,32.15,19.33,46.0,11.91,34.93,30.8,18.1,57.99,16.67,12.68,17.79,45.35,9.56,83.9,12.6,17.96,38.65,84.16,183.0,50.2,14.05,14.71,6.04,3.64,32.45,61.5,41.89,110.99,15.6,62.0,29.59,45.7,29.15,27.41,74.76,23.65,44.28,21.0,34.0,101.0,83.6
20200203,10.22,13.81,62.08,1.13,4.87,6.81,5.57,4.68,4.89,3.61,3.2,4.5,5.79,21.51,14.43,33.8,39.99,13.9,5.09,12.56,14.2,5.66,27.0,5.72,20.4,7.95,9.13,4.59,26.61,3.05,9.0,6.23,21.89,8.71,23.99,3.16,2.02,1.5,12.57,20.61,80.58,3.32,9.78,46.72,37.68,23.76,15.36,12.03,13.62,4.56,12.92,11.93,7.13,6.7,16.35,123.0,12.19,17.35,14.92,7.5,23.4,10.1,985.0,7.43,30.99,79.82,6.47,43.21,29.3,5.84,9.56,6.83,22.13,8.32,16.71,20.3,4.09,24.03,112.5,26.1,2.0,82.51,13.1,21.23,11.0,7.37,27.7,19.43,16.4,6.31,8.31,6.18,9.26,2.51,12.43,8.17,18.0,16.88,7.05,7.58,26.15,3.29,35.25,30.51,5.75,15.56,45.44,9.74,7.43,6.35,18.0,30.6,5.76,16.81,5.0,8.48,11.04,15.81,3.0,2.63,7.56,8.05,17.79,16.25,9.86,3.3,5.9,76.51,6.53,5.05,43.19,22.11,6.12,5.0,5.3,8.23,7.8,2.97,32.37,19.46,2.42,29.03,7.52,5.38,4.93,3.66,17.05,12.33,4.37,6.08,11.16,7.56,14.81,6.35,3.68,10.51,7.89,5.14,23.99,9.51,10.1,73.8,4.2,3.86,7.24,4.1,4.28,7.08,6.42,4.38,3.41,4.54,3.06,8.08,5.33,37.49,25.79,304.25,86.99,25.11,96.49,27.77,167.0,113.5,42.48,101.7,45.09,254.7,3.71,13.99,26.09,35.25,12.76,6.37,4.55,5.67,4.34,49.59,12.18,4.67,77.98,74.39,128.88,8.89,5.83,58.0,6.43,452.0,6.45,12.35,19.24,2.17,7.01,4.25,7.82,14.98,13.33,6.19,23.18,113.54,47.16,16.33,26.33,29.75,8.36,19.78,30.72,16.32,21.21,38.04,39.11,9.0,5.29,63.56,12.67,18.72,26.69,14.11,24.26,8.15,33.8,12.46,33.63,10.59,31.67,18.11,21.25,8.6,24.45,96.44,30.65,37.88,106.65,36.0,32.4,24.04,16.13,39.03,21.57,27.74,17.11,40.64,10.35,29.54,30.26,16.29,53.85,14.57,11.43,15.08,45.0,8.33,73.51,11.07,15.56,34.91,75.12,159.74,44.98,12.29,13.14,5.33,3.21,28.72,54.27,36.5,98.15,13.57,56.02,26.33,39.6,25.51,24.25,66.12,20.89,41.99,18.61,29.41,90.5,75.0
20200204,10.51,14.35,65.0,1.1,4.69,6.98,5.7,4.22,4.87,3.75,3.15,4.58,5.34,20.8,14.39,35.04,39.5,14.1,5.0,11.55,13.76,5.3,28.5,5.69,20.68,7.4,8.28,4.23,28.4,2.98,9.21,6.33,19.9,8.42,26.68,2.93,2.0,1.4,13.14,20.62,85.44,3.28,9.7,48.8,37.0,23.0,14.11,11.09,13.52,4.17,12.3,11.93,7.11,6.6,16.43,120.16,12.19,15.62,13.68,7.5,21.1,9.09,1015.0,7.0,30.99,79.82,6.16,45.28,29.59,5.6,9.65,6.36,22.79,8.42,17.09,19.3,3.95,26.07,112.53,25.0,2.0,75.5,13.01,19.11,10.8,7.62,28.66,19.3,16.99,6.45,8.48,5.69,8.7,2.38,11.19,7.36,17.47,15.79,7.23,7.61,28.28,2.96,35.1,27.56,5.59,15.89,43.28,8.9,7.0,6.23,17.1,30.66,5.18,17.21,5.09,8.25,10.5,15.78,2.69,2.39,7.89,8.26,16.28,14.63,9.9,3.35,5.32,78.3,6.42,5.13,43.91,20.06,5.87,4.9,5.39,7.6,7.83,2.91,33.0,20.4,2.33,29.2,7.48,5.42,5.0,3.64,16.76,11.31,4.22,5.96,10.6,7.31,14.79,6.0,3.72,9.85,7.97,5.07,24.44,8.63,9.49,73.8,4.17,3.86,6.66,4.09,3.85,7.8,6.43,4.39,3.42,4.09,2.86,8.14,5.41,36.31,25.31,309.25,92.04,24.35,102.5,27.0,170.1,118.84,42.0,105.0,44.63,254.8,3.56,14.05,26.9,36.52,11.48,6.35,4.55,5.36,4.16,50.3,12.07,4.4,79.76,71.0,118.5,8.29,5.75,59.97,6.33,455.31,6.33,12.18,17.38,2.08,6.31,4.03,7.2,14.6,13.0,5.7,23.48,109.0,44.0,15.69,28.7,28.74,8.2,19.46,32.17,15.9,21.51,36.5,37.3,9.18,5.16,63.21,12.88,20.58,28.8,13.43,25.8,7.9,30.49,11.21,35.36,10.21,32.55,18.12,21.0,7.64,25.5,99.2,33.13,38.88,108.5,38.83,32.82,24.0,14.65,40.98,19.41,24.97,17.16,41.58,9.4,29.17,30.16,16.88,54.0,14.51,11.68,14.42,45.73,7.52,75.03,10.38,14.0,34.29,78.9,152.0,42.6,11.06,11.84,5.06,2.95,30.25,56.99,37.2,91.0,13.0,60.41,27.03,39.0,25.65,25.45,69.08,21.05,42.77,17.65,28.85,99.41,86.31
20200205,10.69,15.25,68.8,1.13,4.9,7.12,5.85,4.51,5.14,3.9,3.28,4.63,5.63,21.76,15.77,35.34,41.79,14.2,5.18,12.47,13.96,5.7,28.1,5.83,20.51,7.86,8.96,4.46,30.39,3.07,9.7,6.56,21.7,8.8,27.52,3.09,2.1,1.45,13.19,21.75,87.0,3.25,9.89,49.3,37.5,23.28,14.8,12.2,13.7,4.46,12.81,12.23,7.4,6.75,17.46,123.77,13.34,16.4,14.7,7.53,22.5,9.59,1050.0,7.36,30.5,83.06,6.75,47.4,32.0,5.83,10.21,6.8,23.95,8.73,17.46,21.31,4.13,27.37,122.47,26.51,2.06,80.0,13.18,20.04,11.2,7.89,29.85,19.67,17.26,6.6,8.71,6.05,9.15,2.45,11.82,7.89,16.5,17.01,7.42,7.84,29.9,3.18,36.05,30.8,5.7,16.18,47.74,9.48,7.34,6.69,18.16,32.98,5.64,17.56,5.21,8.47,11.01,16.15,2.89,2.54,7.94,8.51,18.17,15.77,9.95,3.42,5.7,80.56,6.73,5.21,45.8,21.7,6.16,4.98,5.49,8.09,8.05,2.98,34.0,20.99,2.4,30.67,7.56,5.51,5.23,3.71,17.29,12.9,4.34,6.02,11.12,7.52,16.25,6.67,3.8,10.16,8.23,5.17,25.47,9.31,9.88,77.7,4.25,3.96,7.17,4.16,4.07,8.43,6.68,4.52,3.5,4.34,3.07,8.37,5.52,39.8,25.2,336.0,95.85,25.03,102.68,27.35,192.0,116.74,45.44,107.23,46.41,280.17,3.86,14.59,27.51,38.7,12.35,6.38,4.88,5.81,4.35,52.92,13.0,4.73,82.27,72.02,123.0,9.18,5.85,62.0,6.58,471.9,6.8,12.26,21.03,2.16,6.63,4.39,7.74,15.0,13.61,5.99,23.8,115.9,47.15,17.8,29.6,30.79,8.99,20.56,35.55,16.4,22.5,37.57,40.25,9.4,5.21,66.47,13.31,22.0,30.15,14.8,26.48,8.17,32.66,12.22,35.68,10.6,35.99,19.25,22.3,8.81,26.64,100.0,32.48,38.88,118.51,40.37,34.3,25.1,16.04,45.1,20.78,28.75,17.96,44.18,10.24,30.43,33.29,17.78,57.7,15.46,12.48,17.1,48.9,8.2,83.01,11.1,14.81,36.6,85.05,165.0,44.0,11.85,12.66,5.26,3.15,32.53,60.8,39.87,98.48,13.65,60.97,28.07,41.05,28.18,26.23,71.92,21.4,45.4,19.85,30.27,99.03,90.0
20200206,10.81,15.3,71.12,1.17,4.91,7.09,5.89,4.6,5.2,3.92,3.29,4.69,5.8,22.1,15.9,35.5,41.4,14.59,5.25,12.52,14.1,5.83,29.41,5.89,20.95,7.92,9.39,4.62,35.9,3.1,9.76,6.63,21.2,9.02,28.4,3.19,2.12,1.48,14.67,21.8,89.45,3.21,10.1,49.53,38.45,23.58,15.11,12.26,13.93,4.52,13.0,12.33,7.45,6.82,17.34,137.5,13.34,16.71,14.85,7.7,23.2,9.78,1059.43,7.4,31.81,83.4,6.7,47.52,33.01,5.86,10.74,7.11,23.7,8.73,17.51,21.01,4.15,26.11,115.49,26.85,2.09,80.29,13.27,20.76,12.25,7.97,29.85,20.07,17.45,6.57,8.67,6.16,9.21,2.54,12.35,8.09,16.97,17.19,7.4,7.84,29.55,3.22,37.5,31.06,5.75,16.28,47.36,9.55,7.66,6.73,18.54,32.66,5.65,17.65,5.21,8.65,11.19,16.42,2.97,2.58,7.88,8.51,18.44,15.9,10.07,3.43,5.84,81.18,6.82,5.22,45.8,22.23,6.21,5.1,5.5,8.21,8.16,3.05,33.79,21.09,2.43,30.3,7.66,5.51,5.22,3.78,17.47,14.99,4.44,6.18,11.14,7.6,16.08,7.28,3.81,10.21,8.19,5.25,25.53,9.56,9.94,78.9,4.31,4.07,7.34,4.22,4.2,8.65,6.74,4.55,3.52,4.37,3.14,8.41,5.56,40.0,25.39,320.86,98.0,25.67,104.17,27.52,187.49,121.8,43.5,108.98,48.25,272.25,3.9,14.81,27.75,37.9,12.33,6.44,4.95,5.86,4.4,52.87,13.48,4.72,85.63,72.37,122.49,8.9,5.94,63.5,6.6,467.9,6.74,12.95,21.12,2.19,6.77,4.4,7.85,15.16,13.68,6.09,24.08,119.0,47.69,18.6,29.0,31.59,8.85,21.34,36.81,16.74,22.9,39.4,39.97,9.42,5.28,69.0,13.6,20.8,32.13,14.44,25.98,8.18,33.7,12.69,36.0,11.06,38.32,19.61,21.5,9.38,26.61,103.3,32.44,42.45,123.21,42.1,35.11,26.23,15.49,43.35,20.57,26.35,19.18,44.3,10.38,30.63,33.68,17.69,58.45,15.14,11.98,16.8,49.9,8.3,84.98,11.3,15.46,36.99,88.01,163.08,44.95,11.96,12.81,5.35,3.2,32.63,57.32,39.38,99.0,13.8,63.49,27.9,40.2,28.34,26.89,72.47,21.35,44.8,19.55,31.23,97.1,94.0
